"REF_DATE","total"
2019-01-01,10314
2019-02-01,9386
2019-03-01,17448
2019-04-01,24324
2019-05-01,26162
2019-06-01,24642
2019-07-01,50680
2019-08-01,27586
2019-09-01,74712
2019-10-01,32758
2019-11-01,12054
2019-12-01,7876
2020-01-01,8390
2020-02-01,9302
2020-03-01,10478
2020-04-01,4040
2020-05-01,5012
2020-06-01,5350
2020-07-01,5976
2020-08-01,4828
2020-09-01,6256
2020-10-01,5774
2020-11-01,4568
2020-12-01,3294
2021-01-01,2750
2021-02-01,2970
2021-03-01,3310
2021-04-01,4714
2021-05-01,4590
2021-06-01,4914
2021-07-01,5138
2021-08-01,4934
2021-09-01,6242
2021-10-01,6074
2021-11-01,4954
2021-12-01,4312
