"date","ON","QC","MB","NB","AB","NS","BC","SK","PEI","TR","nonUS","US","ALLCANotNL","AllFR"
2019-01-01,13943,10715,256,1539,3881,11949,950,228,454,90,3163,4870,44005,8033
2019-02-01,13859,11175,292,1639,3253,11624,864,189,262,89,3023,4643,43246,7666
2019-03-01,16102,11722,364,1816,3404,13619,1115,142,241,170,4396,7654,48695,12050
2019-04-01,16375,11126,347,1922,3740,13098,1015,292,361,173,6668,14068,48449,20736
2019-05-01,23177,10672,671,2312,4926,17918,1648,547,430,215,9212,14136,62516,23348
2019-06-01,32534,10624,1154,2500,7535,18495,3177,446,524,412,6902,8310,77401,15212
2019-07-01,48184,11755,1459,2881,14193,21548,4588,999,571,440,6243,7431,106618,13674
2019-08-01,45343,12133,1197,2908,10992,22901,4795,1251,753,461,6660,7812,102734,14472
2019-09-01,26790,11344,1049,2479,5762,18212,2624,641,649,249,6066,7462,69799,13528
2019-10-01,21524,12296,700,2119,5810,18185,1843,301,467,328,4359,8138,63573,12497
2019-11-01,15205,8579,252,1820,3697,13840,1295,237,501,202,3416,8305,45628,11721
2019-12-01,18050,7712,464,2090,5673,14291,2273,307,415,363,3115,6260,51638,9375
2020-01-01,13377,6376,299,1676,3656,10734,1478,236,269,105,3059,4192,38206,7251
2020-02-01,12536,7455,292,1669,2908,10533,1514,157,350,195,2647,5424,37609,8071
2020-03-01,9826,4767,265,1157,2087,9102,1290,180,247,195,3503,4636,29116,8139
